clarity,price,cut_Fair,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_D,color_E,color_F,color_G,color_H,color_I,color_J,carat,depth,table,x,y,z
5,2347,0,0,1,0,0,0,0,0,1,0,0,0,-0.4267617559135901,0.1838058229244495,-0.21560262610638634,-0.2975486393472953,-0.2524625847828564,-0.237666026313466
3,17108,0,0,1,0,0,0,0,1,0,0,0,0,1.5886555046435433,0.1838058229244495,-1.1022927240556808,1.4808442587696435,1.4866125002885793,1.4207433974000145
5,1838,0,0,1,0,0,0,0,0,1,0,0,0,-0.6367010538882915,0.1838058229244495,-0.6589476750810335,-0.5820915030460058,-0.5408519204982201,-0.5051514172349953
3,3625,0,0,1,0,0,1,0,0,0,0,0,0,-0.11185280895153796,-0.02055336678068389,-1.1022927240556808,0.0670219047666773,0.08836117560802766,0.06994217324629241
3,5729,1,0,0,0,0,0,1,0,0,0,0,0,0.41299543598521554,3.589792318010038,-1.545637773030328,0.4315924488806499,0.3767505113233914,0.8189012678265739
2,9642,0,0,0,0,1,0,0,0,0,1,0,0,1.5046797854536629,-0.565511205994381,0.671087471842908,1.4986281877508125,1.5215687834055929,1.327123510577479
3,776,0,0,0,1,0,0,0,1,0,0,0,0,-1.0565796498376943,0.32004528272787497,0.22774242286826082,-1.2756647333116122,-1.2836729367347626,-1.173864894538818
3,2917,0,0,1,0,0,0,1,0,0,0,0,0,-0.21682245793888874,0.5244044724330084,0.22774242286826082,-0.10192542055443225,-0.06894209841853409,-0.02367771357624314
2,3357,0,1,0,0,0,1,0,0,0,0,0,0,0.22405006780798434,1.5462004209586848,0.671087471842908,0.3426728039748025,0.23692537885533616,0.45779599008250965
3,2850,0,0,0,0,1,0,1,0,0,0,0,0,-0.21682245793888874,-0.4973914760926682,1.1144325208175552,-0.004113811158000326,0.018448609374000044,-0.05042625266839607
5,2776,0,0,1,0,0,0,1,0,0,0,0,0,-0.5527253346984108,-0.15679282658410937,-0.21560262610638634,-0.44871203568723506,-0.4272440003679254,-0.4249057999585365
3,675,0,0,0,0,1,0,0,0,1,0,0,0,-1.0565796498376943,1.2056017714501261,-1.545637773030328,-1.3023406267833657,-1.309890149072523,-1.120367816354512
4,645,0,0,0,0,1,0,0,0,1,0,0,0,-1.014591790242754,0.25192555282616225,-1.1022927240556808,-1.1867450884057649,-1.1438478042667073,-1.0668707381702063
4,698,0,0,0,1,0,0,0,0,0,1,0,0,-1.035585720040224,-1.3829479648149192,0.22774242286826082,-1.1689611594245957,-1.170065016604468,-1.2139877031770472
6,2085,0,0,0,0,1,0,0,0,0,0,1,0,-0.32179210692623933,0.7968833920398545,0.22774242286826082,-0.20862899444144867,-0.19128908932808203,-0.10392333085270133
7,886,0,0,0,0,1,0,0,1,0,0,0,0,-1.0565796498376943,0.592524202334721,-1.1022927240556808,-1.2845566978021967,-1.2487166536177488,-1.1337420859005882
1,818,0,0,0,0,1,0,1,0,0,0,0,0,-0.8256464220655227,1.2056017714501261,-1.1022927240556808,-0.9022022247070542,-0.9253710347853712,-0.7458882690643711
2,583,0,1,0,0,0,0,0,1,0,0,0,0,-0.9516100008503435,1.2737215013518388,-1.545637773030328,-1.0978254434999182,-1.0739352380326805,-0.9063795036172887
3,18207,0,0,0,1,0,0,0,0,0,1,0,0,2.55437627532717,0.6606439322364338,-1.988982822004975,2.0232540926953093,1.9235660392512515,-4.744794863341231
1,8637,0,0,0,0,1,0,0,0,1,0,0,0,1.4836858556561927,0.7287636621381417,-0.6589476750810335,1.311896933448534,1.3555264385997772,1.3538720496696313
6,772,0,0,0,0,1,0,0,0,0,0,0,1,-0.8466403518629928,-0.36115201628924276,-1.1022927240556808,-0.8844182957258853,-0.8292412562135838,-0.8395081558869066
3,1940,0,0,0,0,1,0,0,1,0,0,0,0,-0.4267617559135901,-1.5191874246183448,0.13907341307333013,-0.2353048879132022,-0.16507187699032225,-0.3580344522281545
2,3413,0,0,1,0,0,0,1,0,0,0,0,0,0.014110769833282986,-0.9742295854046525,-0.6589476750810335,0.27153708805012483,0.3330551574271243,0.16356206006882737
2,540,0,0,0,1,0,0,0,0,0,1,0,0,-1.0565796498376943,-0.29303228638753487,1.5577775697922023,-1.311232591273951,-1.309890149072523,-1.2541105118152769
5,2530,0,0,1,0,0,0,0,0,0,0,1,0,-0.17483459834394843,-0.02055336678068389,-1.1022927240556808,-0.03078970462975463,0.009709538594746787,-0.010303444030166378
5,6084,0,0,1,0,0,0,0,0,0,0,0,1,0.937843680921969,-0.4292717461909555,-0.21560262610638634,1.062921927712163,1.0147026782088933,0.9125211546491094
3,14242,0,0,0,0,1,0,0,1,0,0,0,0,1.4626919258587225,-0.29303228638753487,1.5577775697922023,1.409708542844966,1.4079608632752982,1.2736264323931732
